Crash_Ref_Number,Crash_Severity,Crash_Month,Crash_Month_Num,Crash_Day_Of_Week,Crash_Day_Num,Crash_Hour,Crash_Nature,Crash_Type,Crash_Latitude,Crash_Longitude,Loc_Post_Code,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Count_Unit_Car,DCA_Code,DCA_Description
164352,Hospitalisation,July,7,Monday,1,22,Rear-end,Multi-Vehicle,-27.64421645,153.027706,4115,100 - 110 km/h,Sealed - Wet,Raining,Darkness - Not lighted,Straight,Level,2,04,Rear-end
164651,Medical treatment,March,3,Tuesday,2,9,Hit object,Single Vehicle,-27.55344245,153.069596,4122,100 - 110 km/h,Sealed - Wet,Raining,Daylight,Straight,Level,1,16,Off Carriageway on Straight Hit Object
164902,Hospitalisation,February,2,Tuesday,2,9,Angle,Multi-Vehicle,-27.54722746,153.134206,4156,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,01,Intersection: Adjacent Approach
164938,Hospitalisation,March,3,Friday,5,14,Sideswipe,Multi-Vehicle,-27.34755245,153.077538,4034,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,3,05,Lane Change
164970,Fatal,May,5,Wednesday,3,15,Rear-end,Multi-Vehicle,-27.46803144,152.994876,4064,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
165480,Hospitalisation,February,2,Monday,1,5,Rear-end,Multi-Vehicle,-27.58883845,153.107846,4113,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,4,04,Rear-end
165525,Hospitalisation,January,1,Thursday,4,14,Head-on,Multi-Vehicle,-27.50584345,153.038805,4120,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
165531,Medical treatment,January,1,Thursday,4,16,Rear-end,Multi-Vehicle,-27.51481444,152.956535,4068,80 - 90 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,2,04,Rear-end
165535,Medical treatment,May,5,Wednesday,3,5,Rear-end,Multi-Vehicle,-27.64285145,153.01815,4115,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,2,04,Rear-end
165826,Medical treatment,June,6,Monday,1,17,Rear-end,Multi-Vehicle,-27.33166844,153.0127581,4036,100 - 110 km/h,Sealed - Dry,Clear,Dawn/Dusk,Straight,Level,2,04,Rear-end
